Service: hwrt, mapping: similar-0
Found 293 / 302 classes
Macro score: 255 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| [                   |        92 |  91.3 % |  95.7 % |  97.8 % |  97.8 % |  97.8 % |
| \ell                |        91 |  95.6 % |  98.9 % |  98.9 % |  98.9 % |  98.9 % |
| \heartsuit          |        91 |  94.5 % |  95.6 % |  95.6 % |  95.6 % |  95.6 % |
| \rho                |        91 |  86.8 % |  92.3 % |  93.4 % |  94.5 % |  94.5 % |
| \simeq              |        90 |  96.7 % |  97.8 % |  97.8 % |  98.9 % |  98.9 % |
| \%                  |        89 |  92.1 % |  96.6 % |  96.6 % |  96.6 % |  96.6 % |
| \zeta               |        87 |  86.2 % |  92.0 % |  93.1 % |  93.1 % |  93.1 % |
| |                   |        86 |  97.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \neg                |        85 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leadsto            |        82 |  95.1 % |  97.6 % |  98.8 % | 100.0 % | 100.0 % |
| \odot               |        82 |  92.7 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \mathscr{L}         |        81 |  87.7 % |  91.4 % |  95.1 % |  96.3 % |  96.3 % |
| \backslash          |        78 |  98.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lesssim            |        78 |  92.3 % |  93.6 % |  94.9 % |  96.2 % |  96.2 % |
| \llbracket          |        78 |  97.4 % |  98.7 % |  98.7 % |  98.7 % |  98.7 % |
| \aleph              |        77 |  87.0 % |  89.6 % |  92.2 % |  92.2 % |  92.2 % |
| \langle             |        77 |  94.8 % |  97.4 % |  97.4 % |  97.4 % |  97.4 % |
| \therefore          |        77 |  96.1 % |  98.7 % |  98.7 % |  98.7 % |  98.7 % |
| .                   |        76 |  84.2 % |  89.5 % |  89.5 % |  89.5 % |  92.1 % |
| \AA                 |        76 |  96.1 % |  97.4 % |  97.4 % |  97.4 % |  97.4 % |
| \mathcal{L}         |        75 |  69.3 % |  84.0 % |  89.3 % |  89.3 % |  89.3 % |
| \|                  |        75 |  94.7 % |  97.3 % |  98.7 % |  98.7 % |  98.7 % |
| /                   |        69 |  91.3 % |  91.3 % |  94.2 % |  94.2 % |  94.2 % |
| \eta                |        69 |  94.2 % |  95.7 % |  95.7 % |  97.1 % |  97.1 % |
| \hookrightarrow     |        67 |  95.5 % |  97.0 % |  98.5 % |  98.5 % |  98.5 % |
| \theta              |        66 |  69.7 % |  84.8 % |  90.9 % |  92.4 % |  92.4 % |
| \coprod             |        64 |  87.5 % |  90.6 % |  90.6 % |  90.6 % |  90.6 % |
| \gtrsim             |        64 |  95.3 % |  98.4 % |  98.4 % |  98.4 % |  98.4 % |
| \Gamma              |        63 |  84.1 % |  95.2 % |  95.2 % |  95.2 % |  96.8 % |
| \male               |        63 |  82.5 % |  96.8 % |  96.8 % |  96.8 % |  96.8 % |
| \omega              |        63 |  95.2 % |  98.4 % |  98.4 % |  98.4 % |  98.4 % |
| \tau                |        63 |  85.7 % |  90.5 % |  90.5 % |  92.1 % |  92.1 % |
| \Phi                |        62 |  80.6 % |  88.7 % |  91.9 % |  91.9 % |  91.9 % |
| \triangleq          |        58 |  87.9 % |  96.6 % |  96.6 % |  96.6 % |  96.6 % |
| \psi                |        57 |  50.9 % |  96.5 % |  96.5 % |  98.2 % |  98.2 % |
| \ast                |        56 |  91.1 % |  94.6 % |  94.6 % |  96.4 % |  96.4 % |
| \lightning          |        56 |  87.5 % |  89.3 % |  89.3 % |  89.3 % |  91.1 % |
| \diamond            |        53 |  77.4 % |  86.8 % |  88.7 % |  90.6 % |  90.6 % |
| \hbar               |        53 |  98.1 % |  98.1 % |  98.1 % |  98.1 % |  98.1 % |
| \prec               |        53 |  90.6 % |  94.3 % |  96.2 % |  96.2 % |  96.2 % |
| \bowtie             |        51 |  86.3 % |  90.2 % |  92.2 % |  92.2 % |  92.2 % |
| \leftrightarrow     |        51 |  92.2 % |  98.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacksquare        |        50 |  96.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \ni                 |        50 |  96.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \S                  |        48 |  85.4 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \Theta              |        47 |  76.6 % |  87.2 % |  91.5 % |  91.5 % |  91.5 % |
| \oiint              |        47 |  95.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \preceq             |        47 |  78.7 % |  83.0 % |  91.5 % |  91.5 % |  91.5 % |
| \Psi                |        46 |  71.7 % |  93.5 % |  93.5 % |  93.5 % |  93.5 % |
| \lfloor             |        43 |  93.0 % |  95.3 % |  97.7 % |  97.7 % | 100.0 % |
| \mathbb{C}          |        42 |  95.2 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \twoheadrightarrow  |        42 |  85.7 % |  92.9 % |  95.2 % |  95.2 % |  95.2 % |
| \Xi                 |        41 |  87.8 % |  95.1 % |  95.1 % |  95.1 % |  95.1 % |
| \supset             |        41 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supseteq           |        41 |  92.7 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \vdots              |        41 |  97.6 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| T                   |        40 |  87.5 % |  87.5 % |  92.5 % |  92.5 % |  92.5 % |
| \$                  |        40 |  95.0 % |  97.5 % |  97.5 % |  97.5 % |  97.5 % |
| \ddots              |        40 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{F}         |        40 |  85.0 % |  90.0 % |  90.0 % |  90.0 % |  92.5 % |
| \not\equiv          |        39 |  92.3 % |  92.3 % |  92.3 % |  94.9 % |  94.9 % |
| \nu                 |        39 |  79.5 % |  87.2 % |  89.7 % |  89.7 % |  89.7 % |
| \lceil              |        37 |  91.9 % |  94.6 % |  94.6 % |  94.6 % |  94.6 % |
| \mathcal{A}         |        37 |  62.2 % |  91.9 % |  97.3 % |  97.3 % |  97.3 % |
| \mathcal{P}         |        37 |  81.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succ               |        37 |  86.5 % |  89.2 % |  89.2 % |  89.2 % |  89.2 % |
| \nmid               |        36 |  91.7 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \wp                 |        36 |  80.6 % |  94.4 % |  94.4 % |  97.2 % |  97.2 % |
| \bullet             |        35 |  54.3 % |  82.9 % |  85.7 % |  85.7 % |  88.6 % |
| \div                |        34 |  91.2 % |  91.2 % |  94.1 % |  94.1 % |  97.1 % |
| \female             |        34 |  85.3 % |  88.2 % |  91.2 % |  91.2 % |  91.2 % |
| \subsetneq          |        34 |  97.1 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \celsius            |        33 |  93.9 % |  97.0 % |  97.0 % |  97.0 % |  97.0 % |
| \mathcal{N}         |        33 |  87.9 % |  90.9 % |  97.0 % |  97.0 % |  97.0 % |
| \}                  |        33 |  93.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| S                   |        32 |  87.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nexists            |        32 |  93.8 % |  96.9 % |  96.9 % |  96.9 % |  96.9 % |
| \dots               |        30 |  86.7 % |  86.7 % |  86.7 % |  86.7 % |  86.7 % |
| \fint               |        30 |  86.7 % |  93.3 % |  96.7 % |  96.7 % |  96.7 % |
| D                   |        29 |  72.4 % |  75.9 % |  79.3 % |  82.8 % |  82.8 % |
| \ae                 |        29 |  82.8 % |  89.7 % |  96.6 % | 100.0 % | 100.0 % |
| \mathbb{Q}          |        29 |  86.2 % |  89.7 % |  96.6 % |  96.6 % |  96.6 % |
| \sqsubseteq         |        29 |  79.3 % |  89.7 % |  89.7 % |  89.7 % |  89.7 % |
| \vartheta           |        29 |  93.1 % |  93.1 % |  96.6 % |  96.6 % |  96.6 % |
| \clubsuit           |        28 |  78.6 % |  89.3 % |  89.3 % |  89.3 % |  89.3 % |
| \rtimes             |        27 |  88.9 % |  92.6 % |  92.6 % |  92.6 % |  92.6 % |
| \star               |        27 |  25.9 % |  44.4 % |  48.1 % |  51.9 % |  55.6 % |
| \dagger             |        26 |  80.8 % |  88.5 % |  88.5 % |  88.5 % |  88.5 % |
| \kappa              |        26 |  84.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| ]                   |        26 |  88.5 % |  96.2 % | 100.0 % | 100.0 % | 100.0 % |
| \copyright          |        25 |  84.0 % |  92.0 % |  92.0 % |  96.0 % |  96.0 % |
| \mathcal{H}         |        25 |  88.0 % |  88.0 % |  88.0 % |  88.0 % |  88.0 % |
| \triangleleft       |        25 |  80.0 % |  92.0 % |  96.0 % |  96.0 % |  96.0 % |
| \aa                 |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \angle              |        24 |  87.5 % |  95.8 % |  95.8 % |  95.8 % |  95.8 % |
| \iddots             |        24 |  87.5 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \uparrow            |        24 |  95.8 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
| \ltimes             |        23 |  73.9 % |  91.3 % |  95.7 % |  95.7 % |  95.7 % |
| \mathcal{M}         |        23 |  82.6 % |  87.0 % |  91.3 % |  91.3 % |  91.3 % |
| \mathfrak{S}        |        23 |  73.9 % |  87.0 % |  87.0 % |  87.0 % |  87.0 % |
| A                   |        22 |  77.3 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \because            |        22 |  90.9 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \boxtimes           |        22 |  72.7 % |  81.8 % |  86.4 % |  86.4 % |  86.4 % |
| \dashv              |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{C}         |        22 |  63.6 % |  77.3 % |  81.8 % |  86.4 % |  86.4 % |
| \rightharpoonup     |        22 |  90.9 % |  95.5 % |  95.5 % |  95.5 % |  95.5 % |
| \downarrow          |        21 |  81.0 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \leftarrow          |        21 |  85.7 % |  90.5 % | 100.0 % | 100.0 % | 100.0 % |
| \mathbb{E}          |        21 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \mathscr{H}         |        21 |  71.4 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \nearrow            |        21 |  90.5 % |  95.2 % |  95.2 % | 100.0 % | 100.0 % |
| \rightleftharpoons  |        21 |  90.5 % |  90.5 % |  90.5 % |  90.5 % |  95.2 % |
| \succeq             |        21 |  61.9 % |  66.7 % |  71.4 % |  76.2 % |  76.2 % |
| \Re                 |        20 |  45.0 % |  50.0 % |  60.0 % |  65.0 % |  75.0 % |
| \doteq              |        20 |  95.0 % |  95.0 % |  95.0 % |  95.0 % |  95.0 % |
| \mathbb{P}          |        20 |  75.0 % |  85.0 % |  85.0 % |  90.0 % |  90.0 % |
| \mathscr{S}         |        20 |  60.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \nsubseteq          |        20 |  75.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \mathscr{A}         |        19 |  78.9 % |  94.7 % |  94.7 % |  94.7 % |  94.7 % |
| \nrightarrow        |        19 |  84.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uplus              |        19 |  94.7 % |  94.7 % |  94.7 % |  94.7 % |  94.7 % |
| \backsim            |        18 |  72.2 % |  77.8 % |  77.8 % |  83.3 % |  83.3 % |
| \curvearrowright    |        18 |  94.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rceil              |        18 |  94.4 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
