Service: hwrt, mapping: strict-0
Found 341 / 351 classes
Macro-scores: 291 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \heartsuit          |        91 |  94.5 % |  95.6 % |  95.6 % |  95.6 % |  95.6 % |
| \simeq              |        90 |  96.7 % |  97.8 % |  97.8 % |  98.9 % |  98.9 % |
| \%                  |        89 |  92.1 % |  96.6 % |  96.6 % |  96.6 % |  96.6 % |
| \geq                |        87 |  83.9 % |  96.6 % |  97.7 % |  97.7 % |  97.7 % |
| \mathcal{O}         |        87 |  69.0 % |  82.8 % |  93.1 % |  94.3 % |  94.3 % |
| \vee                |        87 |  95.4 % |  97.7 % |  97.7 % |  97.7 % |  98.9 % |
| \zeta               |        87 |  86.2 % |  92.0 % |  93.1 % |  93.1 % |  93.1 % |
| |                   |        86 |  96.5 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \neg                |        85 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{L}         |        81 |  87.7 % |  92.6 % |  95.1 % |  96.3 % |  96.3 % |
| \subset             |        79 |  92.4 % |  94.9 % |  98.7 % |  98.7 % |  98.7 % |
| \backslash          |        78 |  98.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lesssim            |        78 |  92.3 % |  92.3 % |  93.6 % |  94.9 % |  96.2 % |
| \llbracket          |        78 |  97.4 % |  98.7 % |  98.7 % |  98.7 % |  98.7 % |
| \aleph              |        77 |  87.0 % |  89.6 % |  92.2 % |  92.2 % |  92.2 % |
| \langle             |        77 |  94.8 % |  97.4 % |  97.4 % |  97.4 % |  97.4 % |
| \therefore          |        77 |  96.1 % |  98.7 % |  98.7 % |  98.7 % |  98.7 % |
| \AA                 |        76 |  96.1 % |  97.4 % |  97.4 % |  97.4 % |  97.4 % |
| \cdot               |        76 |  84.2 % |  89.5 % |  89.5 % |  90.8 % |  92.1 % |
| \mathcal{L}         |        75 |  69.3 % |  84.0 % |  89.3 % |  89.3 % |  89.3 % |
| \|                  |        75 |  94.7 % |  97.3 % |  97.3 % |  97.3 % |  97.3 % |
| \varepsilon         |        74 |  77.0 % |  94.6 % |  97.3 % |  97.3 % |  97.3 % |
| \eta                |        69 |  94.2 % |  95.7 % |  95.7 % |  97.1 % |  97.1 % |
| \phi                |        69 |  60.9 % |  81.2 % |  88.4 % |  92.8 % |  95.7 % |
| \rho                |        69 |  87.0 % |  92.8 % |  94.2 % |  94.2 % |  94.2 % |
| \degree             |        68 |  45.6 % |  82.4 % |  91.2 % |  92.6 % |  92.6 % |
| \hookrightarrow     |        67 |  95.5 % |  95.5 % |  97.0 % |  98.5 % |  98.5 % |
| \theta              |        66 |  69.7 % |  84.8 % |  90.9 % |  92.4 % |  92.4 % |
| \coprod             |        64 |  87.5 % |  89.1 % |  90.6 % |  90.6 % |  90.6 % |
| \gtrsim             |        64 |  96.9 % |  98.4 % |  98.4 % |  98.4 % |  98.4 % |
| \Gamma              |        63 |  84.1 % |  95.2 % |  95.2 % |  95.2 % |  96.8 % |
| \leadsto            |        63 |  88.9 % |  95.2 % |  98.4 % |  98.4 % |  98.4 % |
