Service: detexify, mapping: none
Found 970 / 1077 classes
Macro-scores: 471 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \wp                       |        37 |  81.1 % |  86.5 % |  94.6 % |  97.3 % |  97.3 % |
| \fint                     |        36 |  41.7 % |  72.2 % |  83.3 % |  91.7 % |  97.2 % |
| \supset                   |        36 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textasciicircum          |        36 |  55.6 % |  66.7 % |  83.3 % |  88.9 % |  91.7 % |
| \$                        |        35 |  17.1 % |  48.6 % |  88.6 % |  94.3 % |  94.3 % |
| \S                        |        35 |  28.6 % |  51.4 % |  77.1 % |  80.0 % |  80.0 % |
| \Lambda                   |        34 |  20.6 % |  41.2 % |  50.0 % |  67.6 % |  79.4 % |
| \ohm                      |        34 |  20.6 % |  47.1 % |  67.6 % |  85.3 % |  94.1 % |
| \supseteq                 |        34 |  73.5 % |  85.3 % | 100.0 % | 100.0 % | 100.0 % |
| \textesh                  |        34 |  35.3 % |  52.9 % |  79.4 % |  82.4 % |  88.2 % |
| |                         |        34 |  11.8 % |  14.7 % |  35.3 % |  50.0 % |  55.9 % |
| \Psi                      |        33 |  30.3 % |  66.7 % |  72.7 % |  81.8 % |  90.9 % |
| \bigoplus                 |        33 |  18.2 % |  42.4 % |  57.6 % |  63.6 % |  66.7 % |
| \ddots                    |        33 |   3.0 % |   3.0 % |   3.0 % |   3.0 % |   3.0 % |
| \odot                     |        33 |  18.2 % |  30.3 % |  42.4 % |  48.5 % |  57.6 % |
| \textpm                   |        33 |  15.2 % |  27.3 % |  51.5 % |  60.6 % |  69.7 % |
| \textsection              |        33 |  36.4 % |  60.6 % |  78.8 % |  93.9 % |  93.9 % |
| \Frowny                   |        32 |  21.9 % |  53.1 % |  59.4 % |  62.5 % |  68.8 % |
| \mathds{C}                |        32 |  37.5 % |  68.8 % |  90.6 % |  93.8 % |  96.9 % |
| \upxi                     |        32 |   9.4 % |  18.8 % |  34.4 % |  40.6 % |  43.8 % |
| \nmid                     |        31 |  67.7 % |  80.6 % |  93.5 % |  93.5 % |  93.5 % |
| \succ                     |        31 |  90.3 % |  93.5 % | 100.0 % | 100.0 % | 100.0 % |
| \aa                       |        30 |  80.0 % |  83.3 % |  83.3 % |  83.3 % |  83.3 % |
| \cdot                     |        30 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textdegree               |        30 |  10.0 % |  26.7 % |  36.7 % |  43.3 % |  56.7 % |
| \theta                    |        30 |  20.0 % |  53.3 % |  73.3 % |  80.0 % |  83.3 % |
| \EUR                      |        29 |   3.4 % |  17.2 % |  34.5 % |  48.3 % |  65.5 % |
| \nexists                  |        29 |  86.2 % |  86.2 % |  86.2 % |  89.7 % |  93.1 % |
| \o                        |        29 |  51.7 % |  65.5 % |  69.0 % |  79.3 % |  86.2 % |
| \parallel                 |        29 |  27.6 % |  44.8 % |  69.0 % |  89.7 % |  96.6 % |
| \textordfeminine          |        29 |  72.4 % |  86.2 % |  89.7 % |  96.6 % |  96.6 % |
| \vDash                    |        29 |  10.3 % |  31.0 % |  37.9 % |  62.1 % |  72.4 % |
| \bigcap                   |        28 |  64.3 % |  96.4 % |  96.4 % |  96.4 % |  96.4 % |
| \mathcal{F}               |        28 |  42.9 % |  71.4 % |  75.0 % |  78.6 % |  85.7 % |
| \tau                      |        28 |  17.9 % |  35.7 % |  50.0 % |  53.6 % |  60.7 % |
| \Downarrow                |        27 |  96.3 % |  96.3 % |  96.3 % |  96.3 % |  96.3 % |
| \ae                       |        27 |  66.7 % |  81.5 % |  85.2 % |  85.2 % |  88.9 % |
| \asymp                    |        27 |  92.6 % |  92.6 % |  96.3 % |  96.3 % |  96.3 % |
| \backslash                |        27 |  33.3 % |  55.6 % |  85.2 % |  92.6 % |  92.6 % |
| \copyright                |        27 |  14.8 % |  55.6 % |  70.4 % |  81.5 % |  85.2 % |
| \textdollaroldstyle       |        27 |  55.6 % |  77.8 % |  77.8 % |  92.6 % |  96.3 % |
| \textvisiblespace         |        27 |  92.6 % |  92.6 % | 100.0 % | 100.0 % | 100.0 % |
| \div                      |        26 |  15.4 % |  26.9 % |  30.8 % |  42.3 % |  46.2 % |
| \mathcal{M}               |        26 |  73.1 % |  80.8 % |  84.6 % |  88.5 % |  96.2 % |
| \mathds{1}                |        26 |  38.5 % |  84.6 % |  84.6 % |  84.6 % |  88.5 % |
| \mid                      |        26 |   3.8 % |   7.7 % |  19.2 % |  19.2 % |  26.9 % |
| \sqsubseteq               |        26 |  88.5 % |  96.2 % |  96.2 % |  96.2 % |  96.2 % |
| \triangleright            |        26 |  38.5 % |  69.2 % |  76.9 % |  80.8 % |  80.8 % |
| \upmu                     |        26 |  50.0 % |  69.2 % |  69.2 % |  73.1 % |  76.9 % |
| \uptau                    |        26 |  50.0 % |  73.1 % |  73.1 % |  73.1 % |  76.9 % |
| \vartheta                 |        26 |  50.0 % |  80.8 % |  84.6 % |  88.5 % |  88.5 % |
| \ast                      |        25 |   8.0 % |  52.0 % |  60.0 % |  72.0 % |  80.0 % |
| \epsilon                  |        25 |  28.0 % |  52.0 % |  64.0 % |  72.0 % |  72.0 % |
| \frownie                  |        25 |  16.0 % |  44.0 % |  52.0 % |  56.0 % |  56.0 % |
| \geqslant                 |        25 |  88.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \rrbracket                |        25 |  80.0 % |  96.0 % |  96.0 % |  96.0 % |  96.0 % |
| \texttwosuperior          |        25 |  80.0 % |  88.0 % |  88.0 % | 100.0 % | 100.0 % |
| \triangle                 |        25 |  36.0 % |  60.0 % |  80.0 % |  88.0 % |  88.0 % |
| \clubsuit                 |        24 |  25.0 % |  50.0 % |  75.0 % |  75.0 % |  75.0 % |
| \mathcal{N}               |        24 |  54.2 % |  91.7 % |  95.8 % | 100.0 % | 100.0 % |
| \textcopyright            |        24 |  79.2 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
| \Theta                    |        23 |  39.1 % |  43.5 % |  65.2 % |  65.2 % |  73.9 % |
| \bowtie                   |        23 |  65.2 % |  82.6 % |  91.3 % |  91.3 % |  91.3 % |
| \celsius                  |        23 |  34.8 % |  69.6 % | 100.0 % | 100.0 % | 100.0 % |
| \dag                      |        23 |   8.7 % |  34.8 % |  47.8 % |  69.6 % |  73.9 % |
| \iint                     |        23 |  95.7 % |  95.7 % |  95.7 % |  95.7 % |  95.7 % |
| \mathcal{C}               |        23 |  52.2 % |  82.6 % |  91.3 % |  91.3 % |  91.3 % |
| \mathcal{D}               |        23 |  56.5 % |  69.6 % |  73.9 % |  87.0 % |  87.0 % |
| \mathfrak{S}              |        23 |  65.2 % |  73.9 % |  78.3 % |  82.6 % |  82.6 % |
| \oiint                    |        23 |  56.5 % |  91.3 % | 100.0 % | 100.0 % | 100.0 % |
| \textsca                  |        23 |  52.2 % |  65.2 % |  78.3 % |  95.7 % |  95.7 % |
| \backsim                  |        22 |  81.8 % |  90.9 % | 100.0 % | 100.0 % | 100.0 % |
| \diamond                  |        22 |  54.5 % |  68.2 % |  77.3 % |  81.8 % |  86.4 % |
| \longrightarrow           |        22 |   4.5 % |  27.3 % |  36.4 % |  50.0 % |  59.1 % |
| \mathcal{E}               |        22 |  18.2 % |  31.8 % |  59.1 % |  77.3 % |  90.9 % |
| \rightleftharpoons        |        22 |  77.3 % |  95.5 % |  95.5 % |  95.5 % |  95.5 % |
| \rtimes                   |        22 |  81.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbar                  |        22 |  27.3 % |  54.5 % |  68.2 % |  86.4 % |  86.4 % |
| \bigotimes                |        21 |  33.3 % |  47.6 % |  52.4 % |  57.1 % |  66.7 % |
| \iddots                   |        21 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathds{Q}                |        21 |  71.4 % |  85.7 % |  85.7 % |  85.7 % |  90.5 % |
| \mathscr{A}               |        21 |  71.4 % |  81.0 % |  81.0 % |  85.7 % |  85.7 % |
| \nsubseteq                |        21 |  42.9 % |  57.1 % |  85.7 % |  95.2 % | 100.0 % |
| \preceq                   |        21 |  95.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \prime                    |        21 |  28.6 % |  47.6 % |  71.4 % |  71.4 % |  76.2 % |
| \shortrightarrow          |        21 |  42.9 % |  52.4 % |  71.4 % |  81.0 % |  95.2 % |
| \subsetneq                |        21 |  38.1 % |  47.6 % |  66.7 % |  90.5 % |  95.2 % |
| \textquestiondown         |        21 |  57.1 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Bowtie                   |        20 |  45.0 % |  80.0 % |  85.0 % |  85.0 % |  85.0 % |
| \bigwedge                 |        20 |  20.0 % |  30.0 % |  55.0 % |  65.0 % |  95.0 % |
| \kappa                    |        20 |  30.0 % |  60.0 % |  95.0 % |  95.0 % | 100.0 % |
| \mathfrak{A}              |        20 |  40.0 % |  55.0 % |  70.0 % |  70.0 % |  75.0 % |
| \mathfrak{r}              |        20 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathscr{S}               |        20 |  65.0 % |  80.0 % |  85.0 % |  85.0 % |  90.0 % |
| \rightsquigarrow          |        20 |  30.0 % |  65.0 % |  85.0 % |  95.0 % |  95.0 % |
| \textasteriskcentered     |        20 |  55.0 % |  70.0 % |  75.0 % |  75.0 % |  75.0 % |
| \triangleleft             |        20 |  30.0 % |  60.0 % |  85.0 % |  85.0 % |  90.0 % |
| \trianglelefteq           |        20 |  35.0 % |  75.0 % |  85.0 % |  85.0 % |  85.0 % |
| \vdots                    |        20 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Cross                    |        19 |   0.0 % |  10.5 % |  21.1 % |  36.8 % |  57.9 % |
| \Longleftrightarrow       |        19 |  31.6 % |  84.2 % |  84.2 % |  94.7 % |  94.7 % |
| \_                        |        19 |   5.3 % |  36.8 % |  36.8 % |  36.8 % |  52.6 % |
| \curlyeqsucc              |        19 |   0.0 % |  15.8 % |  21.1 % |  26.3 % |  31.6 % |
| \downarrow                |        19 |  57.9 % |  84.2 % |  89.5 % |  89.5 % |  89.5 % |
| \mathscr{C}               |        19 |  89.5 % |  89.5 % |  89.5 % |  94.7 % |  94.7 % |
| \ocircle                  |        19 |  36.8 % |  63.2 % |  78.9 % |  78.9 % |  84.2 % |
| \ss                       |        19 |  42.1 % |  73.7 % |  89.5 % |  94.7 % |  94.7 % |
| \textbarb                 |        19 |  15.8 % |  26.3 % |  26.3 % |  26.3 % |  26.3 % |
| \textestimated            |        19 |  68.4 % |  73.7 % |  78.9 % |  89.5 % | 100.0 % |
| \varrho                   |        19 |  36.8 % |  63.2 % |  68.4 % |  73.7 % |  78.9 % |
| \venus                    |        19 |  36.8 % |  63.2 % |  78.9 % |  94.7 % |  94.7 % |
| \O                        |        18 |  27.8 % |  50.0 % |  72.2 % |  77.8 % |  77.8 % |
| \Uppi                     |        18 |  16.7 % |  38.9 % |  50.0 % |  72.2 % |  77.8 % |
