Service: hwrt, mapping: none
Number of symbols: 368
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \triangle           |        32 |  28.1 % |  93.8 % |  93.8 % |  93.8 % |  93.8 % |
| \mathds{1}          |        32 |  43.8 % |  87.5 % |  90.6 % |  90.6 % |  90.6 % |
| \o                  |        32 |  28.1 % |  59.4 % |  84.4 % |  87.5 % |  96.9 % |
| \geqslant           |        31 |  80.6 % |  90.3 % |  96.8 % |  96.8 % |  96.8 % |
| \astrosun           |        31 |  35.5 % |  83.9 % |  90.3 % |  93.5 % |  93.5 % |
| \fint               |        30 |  86.7 % |  93.3 % |  96.7 % |  96.7 % |  96.7 % |
| \sqsubseteq         |        29 |  79.3 % |  89.7 % |  89.7 % |  89.7 % |  89.7 % |
| \vartheta           |        29 |  93.1 % |  93.1 % |  96.6 % |  96.6 % |  96.6 % |
| \mathcal{E}         |        29 |  34.5 % |  96.6 % | 100.0 % | 100.0 % | 100.0 % |
| \ae                 |        29 |  82.8 % |  89.7 % |  96.6 % | 100.0 % | 100.0 % |
| \preceq             |        28 |  85.7 % |  92.9 % |  92.9 % |  96.4 % |  96.4 % |
| \Longrightarrow     |        28 |  21.4 % |  92.9 % |  92.9 % |  92.9 % |  92.9 % |
| \shortrightarrow    |        28 |  21.4 % |  46.4 % |  82.1 % |  82.1 % |  85.7 % |
| \clubsuit           |        28 |  78.6 % |  89.3 % |  89.3 % |  89.3 % |  89.3 % |
| \checked            |        28 |  14.3 % |  96.4 % |  96.4 % |  96.4 % |  96.4 % |
| \sqcup              |        27 |  85.2 % |  92.6 % |  92.6 % |  92.6 % |  92.6 % |
| \star               |        27 |  25.9 % |  44.4 % |  48.1 % |  51.9 % |  55.6 % |
| \rtimes             |        27 |  88.9 % |  92.6 % |  92.6 % |  92.6 % |  92.6 % |
| \Bowtie             |        27 |  77.8 % |  88.9 % |  88.9 % |  88.9 % |  88.9 % |
| \kappa              |        26 |  84.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dag                |        26 |  84.6 % |  88.5 % |  88.5 % |  88.5 % |  88.5 % |
| ]                   |        26 |  88.5 % |  96.2 % | 100.0 % | 100.0 % | 100.0 % |
| \backslash          |        26 |  26.9 % |  96.2 % |  96.2 % |  96.2 % |  96.2 % |
| \copyright          |        25 |  84.0 % |  88.0 % |  92.0 % |  96.0 % |  96.0 % |
| \diamond            |        25 |  44.0 % |  60.0 % |  72.0 % |  72.0 % |  76.0 % |
| \Longleftrightarrow |        25 |  16.0 % |  56.0 % |  60.0 % |  60.0 % |  60.0 % |
| \longrightarrow     |        25 |  24.0 % |  56.0 % |  84.0 % |  96.0 % | 100.0 % |
| \mathcal{H}         |        25 |  88.0 % |  88.0 % |  88.0 % |  88.0 % |  88.0 % |
| \ss                 |        25 |  36.0 % |  88.0 % |  92.0 % |  92.0 % |  92.0 % |
| \bowtie             |        24 |  20.8 % |  79.2 % |  87.5 % |  87.5 % |  87.5 % |
| \subsetneq          |        24 |  83.3 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \uparrow            |        24 |  95.8 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
| \angle              |        24 |  87.5 % |  95.8 % |  95.8 % |  95.8 % |  95.8 % |
| \sharp              |        24 |  54.2 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \iddots             |        24 |  87.5 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \aa                 |        24 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \O                  |        24 |  12.5 % |  25.0 % |  33.3 % |  70.8 % |  83.3 % |
| \ltimes             |        23 |  78.3 % |  91.3 % |  91.3 % |  91.3 % |  95.7 % |
| \mathcal{M}         |        23 |  82.6 % |  87.0 % |  87.0 % |  91.3 % |  91.3 % |
| \mathfrak{S}        |        23 |  73.9 % |  87.0 % |  87.0 % |  87.0 % |  87.0 % |
| \mathds{Q}          |        23 |  73.9 % |  95.7 % |  95.7 % | 100.0 % | 100.0 % |
| \mars               |        23 |  52.2 % |  95.7 % |  95.7 % |  95.7 % |  95.7 % |
| A                   |        22 |  77.3 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \varrho             |        22 |  59.1 % |  77.3 % |  81.8 % |  86.4 % |  86.4 % |
| \boxtimes           |        22 |  72.7 % |  81.8 % |  86.4 % |  86.4 % |  86.4 % |
| \dashv              |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \because            |        22 |  90.9 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \rightharpoonup     |        22 |  90.9 % |  90.9 % |  95.5 % |  95.5 % |  95.5 % |
| \mathscr{C}         |        22 |  68.2 % |  81.8 % |  81.8 % |  86.4 % |  86.4 % |
| \with               |        21 |   9.5 % |  95.2 % |  95.2 % |  95.2 % |  95.2 % |
| \succeq             |        21 |  61.9 % |  66.7 % |  71.4 % |  76.2 % |  76.2 % |
| \downarrow          |        21 |  81.0 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \leftarrow          |        21 |  85.7 % |  90.5 % | 100.0 % | 100.0 % | 100.0 % |
| \nearrow            |        21 |  90.5 % |  95.2 % |  95.2 % | 100.0 % | 100.0 % |
| \rightleftharpoons  |        21 |  90.5 % |  90.5 % |  90.5 % |  90.5 % |  90.5 % |
| \mathcal{D}         |        21 |  61.9 % |  81.0 % |  81.0 % |  85.7 % |  85.7 % |
| \mathds{E}          |        21 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \mathscr{H}         |        21 |  71.4 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \amalg              |        20 |  10.0 % |  70.0 % |  70.0 % |  70.0 % |  75.0 % |
| \doteq              |        20 |  95.0 % |  95.0 % |  95.0 % |  95.0 % |  95.0 % |
| \nsubseteq          |        20 |  75.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \Re                 |        20 |  45.0 % |  50.0 % |  60.0 % |  65.0 % |  70.0 % |
| \triangledown       |        20 |  15.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \mathds{P}          |        20 |  75.0 % |  85.0 % |  85.0 % |  85.0 % |  90.0 % |
| \mathscr{S}         |        20 |  60.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \female             |        20 |  80.0 % |  85.0 % |  85.0 % |  85.0 % |  85.0 % |
| \diameter           |        20 |  20.0 % |  35.0 % |  40.0 % |  45.0 % |  65.0 % |
| \uplus              |        19 |  94.7 % |  94.7 % |  94.7 % |  94.7 % |  94.7 % |
| \preccurlyeq        |        19 |  52.6 % |  57.9 % |  68.4 % |  68.4 % |  68.4 % |
| \longmapsto         |        19 |   0.0 % |  84.2 % |  84.2 % |  84.2 % |  84.2 % |
| \rightsquigarrow    |        19 |  47.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nrightarrow        |        19 |  84.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{C}         |        19 |  42.1 % |  68.4 % |  68.4 % |  68.4 % |  68.4 % |
| \mathcal{S}         |        19 |  47.4 % |  89.5 % |  94.7 % |  94.7 % |  94.7 % |
| \mathcal{T}         |        19 |  63.2 % |  73.7 % |  73.7 % |  73.7 % |  73.7 % |
| \mathscr{A}         |        19 |  78.9 % |  94.7 % |  94.7 % |  94.7 % |  94.7 % |
| \backsim            |        18 |  72.2 % |  77.8 % |  77.8 % |  83.3 % |  83.3 % |
| \curvearrowright    |        18 |  94.4 % |  94.4 % | 100.0 % | 100.0 % | 100.0 % |
| \rceil              |        18 |  94.4 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \rrbracket          |        18 |  94.4 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \coprod             |        17 |  82.4 % |  88.2 % |  88.2 % |  88.2 % |  88.2 % |
| \trianglelefteq     |        17 |  94.1 % |  94.1 % | 100.0 % | 100.0 % | 100.0 % |
| \Downarrow          |        17 |  82.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowleft    |        17 |  70.6 % |  82.4 % |  88.2 % |  94.1 % |  94.1 % |
| \mathcal{R}         |        17 |  58.8 % |  70.6 % |  76.5 % |  94.1 % |  94.1 % |
| \mathcal{Z}         |        17 |  70.6 % |  76.5 % |  82.4 % |  82.4 % |  82.4 % |
| \sun                |        17 |  82.4 % |  88.2 % |  88.2 % |  88.2 % |  88.2 % |
| \iota               |        16 |  75.0 % |  93.8 % |  93.8 % |  93.8 % |  93.8 % |
| \triangleright      |        16 |  81.2 % |  81.2 % |  87.5 % |  87.5 % |  87.5 % |
| \sqcap              |        16 |  18.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \asymp              |        16 |  81.2 % |  93.8 % |  93.8 % |  93.8 % |  93.8 % |
| \rangle             |        16 |  75.0 % |  81.2 % |  81.2 % |  81.2 % |  81.2 % |
| \lozenge            |        16 |  68.8 % |  87.5 % |  87.5 % |  87.5 % |  93.8 % |
| \mathcal{B}         |        16 |  68.8 % |  68.8 % |  75.0 % |  75.0 % |  75.0 % |
