Service: detexify, mapping: similar-0
Found 820 / 926 classes
Macro score: 376 classes with samples number >= 10
Recall scores:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \triangleq                |        49 |  95.9 % |  98.0 % |  98.0 % |  98.0 % | 100.0 % |
| \S                        |        46 |  39.1 % |  71.7 % |  82.6 % |  82.6 % |  82.6 % |
| \Bat                      |        45 |  26.7 % |  37.8 % |  42.2 % |  51.1 % |  55.6 % |
| \ast                      |        45 |  44.4 % |  71.1 % |  82.2 % |  84.4 % |  88.9 % |
| \dots                     |        45 |  84.4 % |  88.9 % |  91.1 % |  91.1 % |  91.1 % |
| \upvarphi                 |        45 |  42.2 % |  97.8 % |  97.8 % | 100.0 % | 100.0 % |
| \prec                     |        44 |  81.8 % |  88.6 % |  88.6 % |  93.2 % |  97.7 % |
| \bowtie                   |        43 |  86.0 % |  88.4 % |  90.7 % |  90.7 % |  93.0 % |
| \mathcal{P}               |        43 |  51.2 % |  65.1 % |  67.4 % |  76.7 % |  79.1 % |
| \tau                      |        42 |  38.1 % |  66.7 % |  78.6 % |  83.3 % |  83.3 % |
| \theta                    |        42 |  69.0 % |  85.7 % |  88.1 % |  88.1 % |  90.5 % |
| \not\equiv                |        41 |  92.7 % |  95.1 % |  97.6 % |  97.6 % |  97.6 % |
| .                         |        40 |   0.0 % |  10.0 % |  10.0 % |  75.0 % |  75.0 % |
| \lightning                |        40 |  57.5 % |  85.0 % |  87.5 % |  92.5 % |  92.5 % |
| \oiint                    |        40 |  85.0 % |  95.0 % |  95.0 % |  95.0 % |  95.0 % |
| \AA                       |        39 |  51.3 % |  87.2 % |  89.7 % |  92.3 % |  92.3 % |
| T                         |        38 |  15.8 % |  34.2 % |  63.2 % |  73.7 % |  84.2 % |
| \lceil                    |        38 |  76.3 % |  81.6 % |  92.1 % |  94.7 % |  97.4 % |
| \ni                       |        38 |  63.2 % |  89.5 % |  94.7 % |  94.7 % | 100.0 % |
| \triangleright            |        38 |  60.5 % |  84.2 % |  84.2 % |  84.2 % |  84.2 % |
| \twoheadrightarrow        |        38 |  92.1 % |  92.1 % |  94.7 % |  94.7 % |  94.7 % |
