Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \prec                     |        50 |  84.0 % |  98.0 % |  98.0 % | 100.0 % | 100.0 % |
| \textpm                   |        50 |  26.0 % |  44.0 % |  56.0 % |  70.0 % |  78.0 % |
| \upvarphi                 |        48 |  50.0 % |  93.8 % |  95.8 % |  95.8 % |  97.9 % |
| \nu                       |        48 |  25.0 % |  43.8 % |  60.4 % |  70.8 % |  75.0 % |
| \bigoplus                 |        47 |  10.6 % |  29.8 % |  40.4 % |  51.1 % |  68.1 % |
| \textesh                  |        46 |  28.3 % |  43.5 % |  63.0 % |  78.3 % |  89.1 % |
| \uppi                     |        46 |  23.9 % |  39.1 % |  58.7 % |  65.2 % |  78.3 % |
| \blacksquare              |        46 |  21.7 % |  54.3 % |  63.0 % |  67.4 % |  76.1 % |
| \setminus                 |        45 |  28.9 % |  57.8 % |  77.8 % |  91.1 % |  97.8 % |
| \not_equiv                |        45 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textasciicircum          |        44 |  75.0 % |  84.1 % |  84.1 % |  90.9 % |  93.2 % |
| \Bat                      |        44 |  47.7 % |  52.3 % |  52.3 % |  54.5 % |  63.6 % |
| \leadsto                  |        44 |  43.2 % |  72.7 % |  79.5 % |  81.8 % |  84.1 % |
| \ni                       |        44 |  68.2 % |  84.1 % |  93.2 % | 100.0 % | 100.0 % |
| \Xi                       |        43 |  39.5 % |  72.1 % |  97.7 % |  97.7 % |  97.7 % |
| \Lambda                   |        42 |  16.7 % |  35.7 % |  57.1 % |  73.8 % |  88.1 % |
| \bigcup                   |        41 |  39.0 % |  85.4 % | 100.0 % | 100.0 % | 100.0 % |
| \hbar                     |        41 |  73.2 % |  97.6 % |  97.6 % |  97.6 % |  97.6 % |
| \texttimes                |        41 |  24.4 % |  46.3 % |  68.3 % |  78.0 % |  80.5 % |
| \triangle                 |        40 |  30.0 % |  57.5 % |  77.5 % |  85.0 % |  90.0 % |
| |                         |        40 |  15.0 % |  32.5 % |  50.0 % |  65.0 % |  80.0 % |
| \Psi                      |        39 |  23.1 % |  41.0 % |  56.4 % |  82.1 % |  89.7 % |
| \ddots                    |        39 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \twoheadrightarrow        |        39 |  74.4 % |  74.4 % |  74.4 % |  74.4 % |  74.4 % |
| \AA                       |        39 |  59.0 % |  94.9 % |  97.4 % |  97.4 % |  97.4 % |
| \cdot                     |        39 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lfloor                   |        38 |  81.6 % |  89.5 % |  89.5 % |  94.7 % |  97.4 % |
| \models                   |        37 |   5.4 % |  16.2 % |  40.5 % |  51.4 % |  62.2 % |
| \leqslant                 |        37 |  75.7 % |  91.9 % |  91.9 % |  91.9 % |  91.9 % |
| \lceil                    |        37 |  75.7 % |  86.5 % |  91.9 % |  97.3 % | 100.0 % |
| \upxi                     |        36 |  13.9 % |  16.7 % |  30.6 % |  38.9 % |  47.2 % |
| \mathcal{P}               |        36 |  63.9 % |  77.8 % |  83.3 % |  86.1 % |  88.9 % |
