Service: detexify
Number of symbols: 800
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \dag                      |        16 |  56.2 % |  87.5 % |  93.8 % | 100.0 % | 100.0 % |
| \checked                  |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textasciitilde           |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Longleftrightarrow       |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlambda               |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upxi                     |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mid                      |        16 |  56.2 % |  68.8 % |  75.0 % |  75.0 % |  81.2 % |
| \upmu                     |        16 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{S}              |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \}                        |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqcup                    |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarepsilon             |        15 |  86.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \fullmoon                 |        15 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textasteriskcentered     |        15 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upsigma                  |        15 |  86.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \copyright                |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textestimated            |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backslash                |        15 |  73.3 % |  93.3 % | 100.0 % | 100.0 % | 100.0 % |
| \Uppsi                    |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \parallel                 |        15 |  73.3 % |  93.3 % | 100.0 % | 100.0 % | 100.0 % |
| \Bowtie                   |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{N}               |        15 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \longmapsto               |        15 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EUR                      |        15 |  93.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \|                        |        14 |  71.4 % |  85.7 % | 100.0 % | 100.0 % | 100.0 % |
| \textdollaroldstyle       |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \preceq                   |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigvee                   |        14 |  85.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \geqslant                 |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uplambda                 |        14 |  92.9 % |  92.9 % |  92.9 % |  92.9 % |  92.9 % |
| \o                        |        14 |  92.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \not_equiv                |        14 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \star                     |        13 |  92.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbeta                 |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \twoheadrightarrow        |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ae                       |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upphi                    |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Yinyang                  |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diamond                  |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \models                   |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightleftharpoons        |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightharpoonup           |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iint                     |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \curvearrowright          |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Theta                    |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Letter                   |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \fint                     |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nu                       |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uptau                    |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \coprod                   |        13 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{S}               |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \theta                    |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \triangle                 |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsurd                 |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % | 100.0 % |
| \varpropto                |        12 |  83.3 % |  91.7 % |  91.7 % |  91.7 % | 100.0 % |
| \bullet                   |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \rrbracket                |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varrho                   |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \aa                       |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathsection              |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbraceleft            |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Frowny                   |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsterling             |        12 |  83.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textchi                  |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \epsilon                  |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iiint                    |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ohm                      |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upgamma                  |        11 |  90.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \trianglelefteq           |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ocircle                  |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquestiondown         |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{E}               |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsca                  |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \amalg                    |        11 |  90.9 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \subsetneq                |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \skull                    |        11 |  63.6 % |  63.6 % |  72.7 % |  72.7 % |  72.7 % |
| \succ                     |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqsubseteq               |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Cross                    |        11 |  81.8 % |  90.9 % | 100.0 % | 100.0 % | 100.0 % |
| \rtimes                   |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \clubsuit                 |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{Z}               |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigcirc                  |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upsigma                  |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttwosuperior          |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{M}               |        10 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sharp                    |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bigtriangleup            |        10 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{H}               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \oiint                    |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dashv                    |        10 |  70.0 % |  90.0 % |  90.0 % |  90.0 % |  90.0 % |
| \bigotimes                |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarsigma               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upchi                    |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \$                        |        10 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrightarrow           |        10 |  90.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscripta              |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{A}               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varsubsetneq             |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upgamma                  |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \frownie                  |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightrightarrows         |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{F}               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Leftarrow                |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textonehalf              |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iddots                   |        10 |  10.0 % |  10.0 % |  20.0 % |  20.0 % |  20.0 % |
| \mathcal{F}               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uppi                     |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{H}               |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowright         |        10 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ncong                    |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbackslash            |         9 |  77.8 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pounds                   |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texttildelow             |         9 |  88.9 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \downarrow                |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \flat                     |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \angle                    |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uparrow                  |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{Q}                |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \celsius                  |         9 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacktriangleright       |         9 |  88.9 % |  88.9 % | 100.0 % | 100.0 % | 100.0 % |
