Service: detexify
Number of symbols: 807
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \vdots                    |        19 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \vDash                    |        18 |  11.1 % |  22.2 % |  50.0 % |  61.1 % |  83.3 % |
| \odot                     |        18 |   5.6 % |  22.2 % |  33.3 % |  33.3 % |  44.4 % |
| \backslash                |        18 |  33.3 % |  61.1 % |  77.8 % |  94.4 % |  94.4 % |
| \ni                       |        18 |  66.7 % |  94.4 % | 100.0 % | 100.0 % | 100.0 % |
| \rightsquigarrow          |        18 |  33.3 % |  66.7 % |  83.3 % |  88.9 % |  88.9 % |
| \Xi                       |        17 |  35.3 % |  70.6 % |  94.1 % | 100.0 % | 100.0 % |
| \textvisiblespace         |        17 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{F}               |        17 |  41.2 % |  70.6 % |  88.2 % |  94.1 % |  94.1 % |
| \not_equiv                |        17 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \supseteq                 |        17 |  52.9 % |  76.5 % | 100.0 % | 100.0 % | 100.0 % |
| \hbar                     |        17 |  70.6 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarepsilon             |        17 |  29.4 % |  47.1 % |  52.9 % |  70.6 % |  88.2 % |
| \textpm                   |        16 |  31.2 % |  50.0 % |  75.0 % |  87.5 % |  87.5 % |
| \sqcup                    |        16 |  81.2 % |  87.5 % |  93.8 % |  93.8 % |  93.8 % |
| \checked                  |        16 |  56.2 % |  81.2 % |  81.2 % |  87.5 % |  87.5 % |
| \mathds{1}                |        16 |  25.0 % |  68.8 % |  75.0 % |  75.0 % |  75.0 % |
| \wp                       |        16 |  75.0 % |  81.2 % |  87.5 % |  87.5 % |  87.5 % |
| \mathcal{H}               |        16 |  62.5 % |  81.2 % |  81.2 % |  93.8 % |  93.8 % |
| \textasciicircum          |        16 |  50.0 % |  75.0 % |  93.8 % |  93.8 % |  93.8 % |
| \textlambda               |        16 |  25.0 % |  31.2 % |  37.5 % |  50.0 % |  62.5 % |
| \leqslant                 |        16 |  75.0 % |  75.0 % |  93.8 % |  93.8 % |  93.8 % |
| \mathcal{D}               |        16 |  25.0 % |  37.5 % |  50.0 % |  75.0 % |  81.2 % |
| \rtimes                   |        15 |  93.3 % |  93.3 % |  93.3 % |  93.3 % | 100.0 % |
| \longmapsto               |        15 |  26.7 % |  33.3 % |  53.3 % |  66.7 % |  73.3 % |
| \tau                      |        15 |  26.7 % |  60.0 % |  66.7 % |  73.3 % |  73.3 % |
| \textsection              |        15 |  53.3 % |  73.3 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{M}               |        15 |  73.3 % |  86.7 % |  86.7 % |  93.3 % |  93.3 % |
| \textrightarrow           |        15 |  20.0 % |  60.0 % |  73.3 % |  73.3 % |  86.7 % |
| \upbeta                   |        15 |   6.7 % |  53.3 % |  80.0 % |  86.7 % |  86.7 % |
| \sqsubseteq               |        15 |  80.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supset                   |        15 |  93.3 % |  93.3 % | 100.0 % | 100.0 % | 100.0 % |
| \bigcap                   |        15 |  80.0 % |  93.3 % |  93.3 % | 100.0 % | 100.0 % |
