Service: detexify
Number of symbols: 863
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \mathfrak{V}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texthtp                  |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{c}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{i}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{s}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{y}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textbarg                 |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texthtscg                |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \precnapprox              |        12 |   0.0 % |   0.0 % |   0.0 % |   8.3 % |   8.3 % |
| \ntrianglerighteq         |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textlhookt               |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \texttoneletterstem       |        12 |   0.0 % |   0.0 % |   8.3 % |   8.3 % |  16.7 % |
| \textdzlig                |        12 |   0.0 % |   0.0 % |   8.3 % |   8.3 % |   8.3 % |
| \textOlyoghlig            |        12 |   0.0 % |   8.3 % |   8.3 % |   8.3 % |  16.7 % |
| \textturnlonglegr         |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textdaggerdbl            |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathfrak{O}              |        12 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Theta                    |        11 |  27.3 % |  36.4 % |  63.6 % |  63.6 % |  63.6 % |
| \epsilon                  |        11 |  18.2 % |  45.5 % |  54.5 % |  54.5 % |  54.5 % |
| \mathds{Q}                |        11 |  72.7 % |  90.9 % |  90.9 % |  90.9 % | 100.0 % |
| \bigcirc                  |        11 |  27.3 % |  45.5 % |  63.6 % |  63.6 % |  63.6 % |
| \theta                    |        11 |  27.3 % |  63.6 % |  72.7 % |  81.8 % |  90.9 % |
| \diamond                  |        11 |  54.5 % |  72.7 % |  81.8 % |  81.8 % |  90.9 % |
| \backslash                |        11 |  36.4 % |  63.6 % |  81.8 % |  90.9 % |  90.9 % |
