Service: detexify
Number of symbols: 863
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \Capricorn                |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textpipe                 |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upvarrho                 |         3 |   0.0 % |   0.0 % |  33.3 % |  66.7 % |  66.7 % |
| \ncong                    |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dashrightarrow           |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \textrangle               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdownarrow            |         3 |   0.0 % |  33.3 % |  66.7 % |  66.7 % |  66.7 % |
| \textfractionsolidus      |         3 |   0.0 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \natural                  |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \ldots                    |         3 |   0.0 % |  33.3 % |  66.7 % |  66.7 % |  66.7 % |
| \textdblhyphenchar        |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \bell                     |         3 |  33.3 % |  33.3 % |  66.7 % |  66.7 % |  66.7 % |
| \mathunderscore           |         3 |  33.3 % |  66.7 % |  66.7 % | 100.0 % | 100.0 % |
| \th                       |         3 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |  33.3 % |
| \upnu                     |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % | 100.0 % |
| \Upgamma                  |         3 |   0.0 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Mercury                  |         3 |   0.0 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \circledR                 |         3 |   0.0 % |   0.0 % |  66.7 % |  66.7 % |  66.7 % |
| \circlearrowleft          |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \quotesinglbase           |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \digamma                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leqq                     |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \barwedge                 |         3 |  66.7 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \nwarrow                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Sun                      |         3 |  33.3 % |  33.3 % |  66.7 % |  66.7 % |  66.7 % |
| \MVRightarrow             |         3 |  66.7 % |  66.7 % |  66.7 % | 100.0 % | 100.0 % |
| \textreferencemark        |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \nshortmid                |         3 |  66.7 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{I}               |         3 |  66.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \phone                    |         3 |   0.0 % |  33.3 % |  33.3 % |  66.7 % |  66.7 % |
| \--                       |         3 |   0.0 % |  33.3 % |  33.3 % |  66.7 % |  66.7 % |
| \between                  |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \aries                    |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Aquarius                 |         3 |   0.0 % |  33.3 % | 100.0 % | 100.0 % | 100.0 % |
| \Lbag                     |         3 |  66.7 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \ddagger                  |         3 |  33.3 % |  33.3 % |  66.7 % |  66.7 % |  66.7 % |
| \dashv                    |         3 |  66.7 % |  66.7 % |  66.7 % | 100.0 % | 100.0 % |
| \textminus                |         3 |  33.3 % |  66.7 % |  66.7 % |  66.7 % | 100.0 % |
| \supsetneq                |         3 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotestraightdblbase |         3 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \shortleftarrow           |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{X}               |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \textturnk                |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{H}               |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \not_simeq                |         3 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textramshorns            |         3 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \llparenthesis            |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \succsim                  |         3 |  33.3 % |  33.3 % |  33.3 % |  33.3 % |  33.3 % |
| \rhd                      |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \----                     |         3 |   0.0 % |  33.3 % |  33.3 % |  33.3 % |  66.7 % |
| \diameter                 |         3 |  33.3 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Shilling                 |         3 |  33.3 % |  33.3 % |  33.3 % | 100.0 % | 100.0 % |
| \circledS                 |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \Mapsto                   |         3 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Vdash                    |         3 |  33.3 % |  66.7 % | 100.0 % | 100.0 % | 100.0 % |
| \Bbbk                     |         3 |  66.7 % |  66.7 % |  66.7 % |  66.7 % |  66.7 % |
| \virgo                    |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \mathscr{N}               |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{S}               |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % | 100.0 % |
| \l                        |         2 |   0.0 % |   0.0 % |  50.0 % |  50.0 % |  50.0 % |
| \ggg                      |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{X}                |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textthreequartersemdash  |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nvDash                   |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURdig                   |         2 |   0.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \textdoublebarpipe        |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textonesuperior          |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{Q}              |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacktriangle            |         2 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Jupiter                  |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Scorpio                  |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \longleftrightarrow       |         2 |   0.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \gtrdot                   |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \not_sim                  |         2 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \pitchfork                |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uparrow                  |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \wasylozenge              |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \varointclockwise         |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \longmapsto               |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{Q}               |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbarglotstop          |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ointclockwise            |         2 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdownstep             |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nleq                     |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \P                        |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Leo                      |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pisces                   |         2 |   0.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textctyogh               |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textturnh                |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \earth                    |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \brokenvert               |         2 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uppsi                    |         2 |   0.0 % |  50.0 % |  50.0 % | 100.0 % | 100.0 % |
| \uptheta                  |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \mathcal{Y}               |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \iiiint                   |         2 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textexclamdown           |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diagdown                 |         2 |   0.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textupsilon              |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{P}               |         2 |   0.0 % |   0.0 % |   0.0 % |  50.0 % |  50.0 % |
| \quotedblbase             |         2 |   0.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \textdoublebarslash       |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % | 100.0 % |
| \mathcal{J}               |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textthreequarters        |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathdollar               |         2 |   0.0 % |  50.0 % |  50.0 % | 100.0 % | 100.0 % |
| \uprho                    |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \textdoublevertline       |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upepsilon                |         2 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |  50.0 % |
| \dotsc                    |         2 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mho                      |         2 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uplambda                 |         2 |  50.0 % |  50.0 % |  50.0 % | 100.0 % | 100.0 % |
| \upomega                  |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lneqq                    |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \parr                     |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EURtm                    |         2 |   0.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \inplus                   |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxdot                   |         2 |   0.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \oslash                   |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \mathscr{O}               |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nsim                     |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{O}                |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % | 100.0 % |
| \textgamma                |         2 |   0.0 % |  50.0 % |  50.0 % |  50.0 % | 100.0 % |
| \textrtaill               |         2 |   0.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textturnw                |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textopenbullet           |         2 |   0.0 % |   0.0 % |  50.0 % |  50.0 % |  50.0 % |
| \curlyvee                 |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \nparallel                |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textperthousand          |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \lessdot                  |         2 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \imath                    |         2 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Rbag                     |         2 |   0.0 % |   0.0 % |  50.0 % |  50.0 % |  50.0 % |
| \DJ                       |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcurrency             |         2 |   0.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \Mobilefone               |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftrightsquigarrow      |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \surd                     |         2 |  50.0 % |  50.0 % |  50.0 % | 100.0 % | 100.0 % |
| \leftharpoondown          |         2 |  50.0 % |  50.0 % |  50.0 % | 100.0 % | 100.0 % |
| \swarrow                  |         2 |  50.0 % |  50.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquotedblright        |         2 |  50.0 % |  50.0 % |  50.0 % | 100.0 % | 100.0 % |
| \mathcal{W}               |         2 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rceil                    |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Pfund                    |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Game                     |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Mars                     |         2 |  50.0 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \circeq                   |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ddag                     |         2 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |  50.0 % |
| \dotsi                    |         2 |   0.0 % |   0.0 % |  50.0 % |  50.0 % |  50.0 % |
| \clock                    |         2 |  50.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscl                  |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textsterling             |         2 |   0.0 % |   0.0 % |  50.0 % |  50.0 % |  50.0 % |
| \boxminus                 |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{D}              |         2 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lessapprox               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ataribox                 |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \TH                       |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textperiodcentered       |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textlyoghlig             |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{K}                |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textrevglotstop          |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbaht                 |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \kreuz                    |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textscriptg              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textscn                  |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textuparrow              |         1 |   0.0 % |   0.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textturnt                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \nleftrightarrow          |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \nLeftrightarrow          |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upuparrows               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Rsh                      |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \unrhd                    |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \FAX                      |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{Z}               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textreve                 |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbari                 |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textquoteleft            |         1 |   0.0 % |   0.0 % | 100.0 % | 100.0 % | 100.0 % |
| \curlywedge               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dotplus                  |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{X}               |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdoublebaresh         |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leo                      |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrptr                 |         1 |   0.0 % |   0.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textvertline             |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \libra                    |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \biguplus                 |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textrtails               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textturnscripta          |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textctc                  |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \supseteqq                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \shortdownarrow           |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \idotsint                 |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textscj                  |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dotsint                  |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \centerdot                |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \mathds{V}                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \geqq                     |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \divideontimes            |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \jmath                    |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \EyesDollar               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upiota                   |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ngeqslant                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \taurus                   |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Taurus                   |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{M}              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ngeq                     |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textbabygamma            |         1 |   0.0 % |   0.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcrb                  |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathsterling             |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \fallingdotseq            |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \smile                    |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{J}                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textturnmrleg            |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathparagraph            |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \guilsinglleft            |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{J}              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{Y}               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Cap                      |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textglobrise             |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \longleftarrow            |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \subseteqq                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlonglegr             |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacklozenge             |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \currency                 |         1 |   0.0 % |   0.0 % |   0.0 % | 100.0 % | 100.0 % |
| \textpeso                 |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \risingdotseq             |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \LHD                      |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textopeno                |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \doublebarwedge           |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Longleftarrow            |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backprime                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textwynn                 |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \DH                       |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Uranus                   |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \uranus                   |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \cent                     |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sqsupseteq               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textflorin               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \blacktriangleright       |         1 |   0.0 % |   0.0 % |   0.0 % | 100.0 % | 100.0 % |
| \mathfrak{H}              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Cup                      |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{N}              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \SS                       |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ngtr                     |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \shortparallel            |         1 |   0.0 % |   0.0 % | 100.0 % | 100.0 % | 100.0 % |
| \sagittarius              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathfrak{B}              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \lll                      |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \cdots                    |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \Vvdash                   |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textlhtlongi             |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texththeng               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \texthvlig                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcentoldstyle         |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pointer                  |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textthreesuperior        |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Supset                   |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upupsilon                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftleftarrows           |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \leftrightarroweq         |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \eth                      |         1 |   0.0 % |   0.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textcloseomega           |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \upkappa                  |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Subset                   |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \dashleftarrow            |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \precsim                  |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textceltpal              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \DOWNarrow                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \ointctrclockwise         |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \male                     |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \textbaru                 |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \backsimeq                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \conjunction              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textltailn               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textparagraph            |         1 |   0.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{U}               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \invdiameter              |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \twoheadleftarrow         |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Earth                    |         1 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \nnearrow                 |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \gtreqqless               |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \downdownarrows           |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathds{G}                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textturnr                |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \trianglerighteq          |         1 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
